Gank,CRM LocationCode,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
234,L25084120688,WESTGATE - MENYA MUSASHI KODOU,WESTGATE|3 GATEWAY DRIVE,MENYA MUSASHI KODOU|TEL:64659381,608532,M90370629T
238,L1800280485,LOT ONE - GNC LIVE WELL,LOT ONE|LOT 1,GNC LIVE WELL|ONI GLOBAL|OSIM INTER|RCB/GST #200106977R,,200106977R
239,L0200280025,JUNCTION 8 - GNC LIVE WELL,JUNCTION 8,GNC LIVE WELL|ONI GLOBAL|OSIM INTER|RCB/GST #200106977R,,200106977R
240,L0631880788,BUGIS JUNCTION - MIAM MIAM,BUGIS JUNCTION|200 VICTORIA STREET,MIAM M AM|GST REG NO 201315935W|POWER BY REVEL SYSTEMS,188021,201315935W
145,L1521450298,THE ATRIUM@ORCHARD - NANA'S GREEN TEA,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|60B ORCHARD ROAD,NANA'S GREEN TEA|TEL: 6684 4312|GST REG. NO. : 201000940E,238891,201000940E
244,L57RCSFM01,RAFFLES CITY SINGAPORE - PREGO,RAFFLES CITY|SINGAPORE 178882,PREGO|FAIRMONT|GSTREGNO:M2-0089636-0|REG NO. 53087342X,178882,M200896360
245,L09076690941,JCUBE - THE GOOD TRIO,JCUBE|2 JURONG EAST CENTRAL 1,THE GOOD TRIO|SAN REN XING|TEL:66941897,,201536433D
247,L2220880374,THE STAR VISTA - WATAMI JAPANESE CASUAL RESTAURANT,THE STAR VISTA|1 VISTA EXCHANGE GREEN,WATAMI JAPANESE CASUAL|TEL3643,138617,200821208R
252,L06086060928,BUGIS JUNCTION - CRYSTAL JADE LA MIAN XIAO LONG BAO,BUGIS JUNCTION|230 VICTORIA ST,CRYSTAL JADE|CRYSTAL JADE LA MIAN XIAO LONG BAO|TEL:63396902|MIAN XLB,188024,M289234888
253,L15062990439,THE ATRIUM@ORCHARD - NAMNAM NOODLE BAR,PLAZA SINGAPURA|68 ORCHARD ROAD,NAM NAM NOODLE BAR|TEL:68372252|WWW.NAMNAMNOODLEBAR.COM.SG,238839,201116280N
254,L15087410505,THE ATRIUM@ORCHARD - DEN AJISEN,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,DEN AJISEN|TEL:62662581,238839,M20370629T
255,L1560970557,THE ATRIUM@ORCHARD - INNISFREE,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,INNISFREE|NATURAL BENEFITS FROM JELU|#01-63/64|TEL:63363179,238839,200107846H
257,L16066980188,BUKIT PANJANG PLAZA - TONKOTSU KAZAN RAMEN,BUKIT PANJANG PLAZA|1 JELEBU ROAD,TONKOTSU KAZAN RAMEN|#01-64 65,677743,201130958D
261,L2226790258,THE STAR VISTA - MORGANFIELD'S,THE STAR VISTA|1 VISTA EXCHANGE GREEN,MORGANFIELD'S|GST REG NO.201210937N|WWW.MORGANFIELDS.COM.SG|FB.COM/MORGANFIELDSSINGAPORE,138617,201210937N
262,L0962300412,JCUBE - OPPA KOREAN GRILL BBQ,JCUBE|2 JURONG EAST CENTRAL|,OPPA KOREAN GRILL BBQ|KOREAN FOOD UNITED|TEL:63395841,609731,201402040C
263,L57088340600,RAFFLES CITY SINGAPORE - THE SOUP SPOON UNION,RAFFLES CITY,THE SOUP SPOON UNION|TEL:63343220|WWW.THESOUPSPOON.COM|BASEMENT 1 UNIT 61/62,,199200297K
265,L0611750034,BUGIS JUNCTION - IORA,BUGIS JUNCTION|200 VICTORIA STREET,IORA|TEL:+6563389363,,199703089W
266,L21064230417,BUGIS+ - YAYOI,BUGIS+|201 VICTORIA STREET|SINGAPORE 188067,YAYOI|YAYOIKEN|TEL:66365448,188067,201104609W
267,L05065182466,IMM BUILDING - CHARLES & KEITH OUTLET,IMM BUILDING|2 JURONG EAST STREET|IMM|609601,CHARLES & KEITH OUTLET|PHONE NO:+65639020|CUSTOMER@CHARLESKEITH.COM|CUSTOMER SERVICE NUMBER: +(65) 6488 2688,609601,200802300D
268,L0231650402,JUNCTION 8 - THEFACESHOP,BUGIS JUNCTION,TFS|THEFACESHOP|TEL:63340797,188021,200411534C
271,L57086070343,RAFFLES CITY SINGAPORE - NESPRESSO,RAFFLES CITY|252 NORTH BRIDGE ROAD,NESPRESSO|NESTLE SING|WWW.NESPRESSO.COM,179103,M200081803
273,L02071350024,,JUNCTION 8|9 BISHAN PLACE,UNITY|UNITY BY FAIRPRICE|6262 5302,579837,M400045780
277,L2531210078,,WESTGATE|3 GATEWAY DRIVE,TONKATSU BISTRO BY MA MAISON,608532,201314391G
278,L1524470219,,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|60B ORCHARD ROAD,SEPHORA|TEL:62386690,238891,200822866N
284,L05063412340,,IMM BUILDING|2 JURONG EAST STREET,POT LUCK|TEL:68996636|FAX:68996676,609601,M90344326G
286,L2502240318,,WESTGATE|3 GATEWAY DRIVE,SA SA COSMETIC [WG]|TEL:64659143|FAX:64659144,608532,199701568C
290,L1800760016,,LOT 1|LOT ONE|CHOA CHU KANG,BENGAWAN SOLO|TEL:6767 1096|GST REG. NO. M2-0100817-4|CO. REG NO. 199102507H,,M201008174
291,L5754100612,,RAFFLES CITY|252 NORTH BRIDGE ROAD,OSAKA OHSHO|TEL:63385584,179103,M90370629T
292,L0300090149,TAMPINES MALL - PASTAMANIA,TAMPINES MALL|4 TAMPINES CENTRAL 5,PASTAMANIA|CO./GST REG. NO. : 20-0108110-Z|TEL: 6784 1625|FAX: 6784 3126|WWW.PASTAMANIA.COM.SG,529510,200108110Z
295,L1800080475,LOT ONE - MCDONALD'S,LOT ONE|LOT 1|21 CHOA CHU KANG AVENUE 4,MCDONALD'S|HANBAOBAO|TEL:67635908|TEL: 6763 5908|GST RSGN NO: M2-0023981-4|MID: 111883567000,689812,M200239814
296,L0300200050,TAMPINES MALL - CHARLES & KEITH,TAMPINES MALL|4 TAMPINES CENTRAL 5,CHARLES & KEITH,,
300,L02026580190, JUNCTION 8 - CHALLENGER MINI,JUNCTION 8|9 BISHAN PLACE,CHALLENGER TECHNOLOGIES|#04-03A,579837,M200632303
301,L1815160525,,LOT ONE|LOT 1|21 CHOA CHU KANG AVENUE 4,NANDO'S|UNIT #01-06|TEL:62199920|FAX:62199972|E-MAIL:PERI-PERI@NANDOS.COM.SG,689812,200208738D
303,L1810280079,,LOT ONE|LOT 1|211 CHOA CHU KANG AVENUE 4,SIAM KITCHEN|TEL:67664766|EMAIL:MAIL@CREATERIES.COM.SG,689812,199802820G
304,L5753800387,,RAFFLES CITY,BUFFET TOWN|#B1-44E|TEL:68373793,,2003043395G
305,L5754030610,,RAFFLES CITY|252 NORTH BRIDGE ROAD,TIONG BAHRU|TIONG BAHRU BAKERY|TEL:(65)63334160,179103,201133471H
307,L1521290526,,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,SUKI-YA HOLDINGS|#04-63/67|TEL:68845423,238839,199906748N
309,L25013370530,,WESTGATE|WEST GATE,TIMEZONE|M90010613J,,M90010613J
310,L04082460697,,PLAZA SINGAPURA|68 ORCHARD ROAD,INOHA MART|*B2-17/18|TEL:(+65)62653139|GSTREG.NO:201619782R,,201619782R
313,L0501911297,,IMM BUILDING,ESPRIT OUTLET|I20 OUTLET|TEL:65675207,,M200698924
314,L0202310144,,JUNCTION 8|9 BISHAN PLACE,G2000|PHONE NO.:63563601|G2000 APPAREL (S),579837,M200971221
315,L05089422759,,IMM BUILDING|2 JURONG EAST STREET,UNDER ARMOUR OUTLET|UA SPORTS (S.E.A)|TEL:68731680,609601,201331463M
316,L1814390464,,LOT ONE|21 CHOE CHU KANG AVE 4,COTTON ON|TELEPHONE:001165676270,,200616872D
318,L05066912261,,IMM BUILDING,OWNDAYS OUTLET|#01-11/12,,201308429G
323,L1800170049,,LOT ONE|LOT 1,GIORDANO|GIORDANO ORIGINALS|SHOP:SGS64|TEL:65137278|HTTP://WWW.GIORDANO.COM,,M200435630
324,L2226620143,,THE STAR VISTA|1 VISTA EXCHANGE GREEN,CENTRAL HK|CENTRAL HONG KONG|TEL:62689628,138617,200713409G
325,L0601110476,,BUGIS JUNCTION|200 VICTORIA STREET,HONGUO|TEL:68844717|WEBSITE:WWW.HONGUO.COM.SG/,188021,M2892220330
328,L0527931220,,IMM BUILDING|2 JURONG EAST STREET,COLD WEAR|TEL:(65)65693515,609301,200617519R
331,L0314280131,,TAMPINES MALL|4 TAMPINES CENTRAL,TONKICHI|TEL:(65)67891726|FAX:(65)67893906,529510,M201011817
335,L0203020184,,JUNCTION 8|9 BISHAN PLACE,MFM|THE MANHATTAN FISH MARKET|TEL/FAX:63524034,579837,200502699H
336,L2224430238,THE STAR VISTA - COCO ICHIBANYA,THE STAR VISTA|1 VISTA EXCHANGE GREEN,COCO ICHIBANYA|TEL:63419978,138617,201009695G
338,L0562082329,IMM BUILDING - PUMA OUTLET,IMM BUILDING|2 JURONG EAST STREET 21,PUMA - IM|UNIT 01-22|TEL-65630515,609607,2007033999R
339,L0505290043,IMM BUILDING - FRAGRANCE,IMM BUILDING|2 JURONG EAST ST 21,FRAGRANCE FOODSTUFF|TEL:65657612,,M200925092
341,L57076900755,RAFFLES CITY SINGAPORE - COCO ICHIBANYA,RAFFLES CITY|252 NORTH BRIDGE ROAD,ICHIBANYA|COCO ICHIBANYA|TEL:62514808,179103,201009695G
342,L07079420376,SEMBAWANG SHOPPING CENTRE - AJISEN RAMEN AND NEW MAN LEE BAK KUT TEH,SEMBAWANG SHOPPING CENTRE|604 SEMBAWANG ROAD,JAPAN FOODS ENTERPRISES|#02-29/30|TEL:64810749,758459,M90370629T
344,L1617850113,BUKIT PANJANG PLAZA - MIND STRETCHER LEARNING CENTRE,BUKIT PANJANG PLAZA|1 JELEBU ROAD,MIND STRETCHER LEARNING,677743,201017990C
345,L0300760013,TAMPINES MALL - BENGAWAN SOLO,TAMPINES MALL,BENGAWAN SOLO|TEL:67882811,,M201008174
349,L2128430428,BUGIS+ - SEOULYUMMY KOREAN CASUAL DINING,BUGIS+|201 VICTORIA STREET,SEOUL YUMMY|GRATIFY GROUP PTE LTD|WWW.SEOULJUMMY.COM|TEL:6509 6900|GST NO. 200401969N,188067,200401969N
343,L0200760266,JUNCTION 8 - BENGAWAN SOLO,BUGIS JUNCTION|200 VICTORIA ST,BENGAWAN SOLO|TEL:62382908,,M201008174
352,L2400250227,BEDOK MALL - PET LOVERS CENTRE,BEDOK MALL| BEDOK MALL BRANCH|BEDOK,PET LOVERS CENTRE|TEL:1800-PETFOOD|GST REG : M2-0032541-9|WWW.PETLOVERSCENTRE.COM,,M200325419
350,L06078390917,BUGIS JUNCTION - LENU CHEF WAI'S NOODLE BAR,BUGIS JUNCTION|200 VICTORIA STREET,LE NU BUGIS|LENU CHEF WAI'S NOODLE BAR|TEL: 6336 7965|FAX: 6336 0685,188021,201023944N
356,L0200090090,JUNCTION 8 - PASTAMANIA,JUNCTION 8|9 BISHAN PLACE|BISHAN,PASTAMANIA|TEL:6339 6635|FAX: 6339 0608|CO./GST REG. NO.: 20-0108110Z,188021,200108110Z
359,L07065840281,SEMBAWANG SHOPPING CENTRE - THE SEAFOOD MARKET PLACE BY SONG FISH,SEMBAWANG SHOPPING CENTRE|604 SEMBAWANG ROAD,SONG FISH DEALER|THE SEAFOOD MARKET PLACE BY SONG FISH|CO.REG: 198703967R,758459,M200789806
361,L03022860354,TAMPINES MALL - LANEIGE,TAMPINES MALL|4 TAMPINES CENTRAL 5,LANEIGE|TEL: 67836269|GST NO: 200107846H,529510,200107846H
363,L1602250207,BUKIT PANJANG PLAZA - KFC,BUKIT PANJANG PLAZA|BUKIT,KFC|KENTUCKY FRIED CHICKEN MGMT|WWW.KFCGUESTFEEDBACK.COM.SG|CO. REG. NO.: 198600837K,,M200726952
365,L0200120155,JUNCTION 8 - ROYAL SPORTING HOUSE,JUNCTION 8,RSH (SING)|CO. REG 199409417-M|TEL. NO. 6256-2989,,199409417M
367,L0300490147,TAMPINES MALL - GOLDEN VILLAGE,TAMPINES MALL,GOLDEN VILLAGE|GV TAMP,,M200915038
372,L0415160513,PLAZA SINGAPURA - NANDO'S,PLAZA SINGAPURA|68 ORCHARD ROAD,NANDO'S|NANDO'S PLAZA SG|TEL: 02-63372555|FAX:02-63373282|EMAIL: PERI-PERI@NANDOS.COM.SG,238839,200208738D
374,L2215160147,THE STAR VISTA - NANDO'S,THE STAR VISTA|1 VISTA EXCHANGE GREEN,NANDO'S|UNIT #B1-09|FAX:6694 1874|EMAIL: PERI-PERI@NANDOS.COM.SG,138617,200208738D
375,L15075090575,THE ATRIUM@ORCHARD - KAI SUSHI & RABATAYAKI,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,KAI SUSHI & ROBATAYAKI|TEL: 6336 1480|GST REG NO. 200613899R,169347,200613899R
376,L06065730701,BUGIS JUNCTION - EIGHTEEN CHEFS,BUGIS JUNCTION|200 VICTORIA STREET,EIGHTEEN CHEFS|TEL: 6734 9741|GST REG NO :200703692R,188021,200703692R
377,L2428770012,BEDOK MALL - RAMENPLAY,BEDOK MALL|311 NEW UPPER CHANGI RD,RAMENPLAY|TEL. +65 6844 9441|GST NO.:200909421M,467360,200909421M
378,L57078560601,RAFFLES CITY SINGAPORE - POULET,RAFFLES CITY|252 NORTH BRIDGE ROAD,POULET|#B1-65/66|TEL: 6336-3119|FAX: 6336-1176,179103,200304429R
379,L2532000184,WESTGATE - PHO STREET,WESTGATE|3 GATEWAY DRIVE,PHO STREET|#B2-K6/K7|TEL: 6465 9925|GST REG: 20135899D,608532,20135899D
381,L02087290441,JUNCTION 8 - CHATERAISE,JUNCTION 8|9 BISHAN PLACE,CHATERAISE|TEL:6734 4355,579837,
382,L57133870764,RAFFLES CITY SINGAPORE - THE COFFEE ACADEMICS,RAFFLES CITY|252 NORTH BRIDGE ROAD,THE COFFEE ACADEMICS|PURVEYOR AND ROASTER OF SPECIALTY COFFEE EST|GST:201537245E,179103,201537245E
373,L0300120371,TAMPINES MALL - ROYAL SPORTING HOUSE,TAMPINES MALL,RSH SING|ROYAL SPORTING HOUSE|CO.REG 199409417M|TEL. NO. 6787-8102,,199409417M
383,L25000650504,WESTGATE - FISH & CO,WESTGATE|3 GATEWAY DRIVE,FISH & CO|TEL: 6266 4235|GST REG NO : 1998-02488M,608532,199802488M
384,L2226200146,THE STAR VISTA - MENYA MUSASHI,THE STAR VISTA|1 VISTA EXCHANGE GREEN,MENYA MUSASHI|GST REG: M90370629T,138617,M90370629T
385,L04026690640,PLAZA SINGAPURA - PAPPARICH,PLAZA SINGAPURA|68 ORCHARD ROAD,PAPPARICH|TEL: 6735 9323|GST REG NO: 201400763H,238839,201400763H
387,L1801930411,LOT ONE - BATA,LOT 1|LOT ONE,BATA|CUSTOMERSERVICE.SG@BATA.COM|PHONE # 67629536|GST REG. NO. M2-00000374,,M200000374
388,L25030470605,WESTGATE - GREENDOT,WESTGATE,GREEN DOT GDAWG|GST NO. 201600344D,608532,201600344D
389,L0403020255,PLAZA SINGAPURA - THE MANHATTAN FISH MARKET,PLAZA SINGAPURA|68 ORCHARD ROAD,MFM|THE MANHATTAN FISH MARKET|TEL/FAX: 6835 9300|GST REG: 20-0502699H,238839,200502699H
391,L57054540378,RAFFLES CITY SINGAPORE - GNC LIVE WELL,RAFFLES CITY,GNC LIVE WELL|ONI GLOBAL|OSIM INTER|RCB/GST #200106977R,,200106977R
392,L04084460610,PLAZA SINGAPURA - PATBINGSOO,PLAZA SINGAPURA|68 ORCHARD ROAD,PATBINGSOO|GST REG / ROC NO: 201620885N|TEL: 9181 3038,238839,201620885N
394,L1522860467,THE ATRIUM@ORCHARD - LANEIGE,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,LANEIGE|GST NO : 200107846H,238839,200107846H
396,L06031640838,BUGIS JUNCTION - PARIS BAGUETTE CAFE,BUGIS JUNCTION|200 VICTORIA STREET,PARIS BAGUETTE|GST REGISTRATION NUMBER : 2011-08952N,,201108952N
398,L0639180462,BUGIS JUNCTION - MENYA MUSASHI TAKATORA,BUGIS JUNCTION|200 VICTORIA STREET,MENYA MUSASHI TAKATORA|GST NO: 199707251G|TEL: 6884 6454,188024,199707251G
399,L57128980743,RAFFLES CITY SINGAPORE - NBC STATIONERY & GIFTS,RAFFLES CITY|252 NORTH BRIDGE ROAD,NBC|STATIONERY & GIFTS|#03-10/11/12|TEL: 6336 7466|FAX : 6336 4616|CO.REG.NO : 198304042G|WWW.NBCSTATIONERYANGGIFTS.COM,179103,M200623908
402,L0528532045,IMM BUILDING - TIMBERLAND OUTLET,IMM BUILDING|IMM,TIMBERLAND OUTLET|TEL:6569-6027,609601,199804569E
403,L25067790604,WESTGATE - MA KUANG TCM MEDICAL CENTRE,WESTGATE|3 GATEWAY DRIVE,MA KUANG TCM MEDICAL|WEBSITE:WWW.MAKUANG.COM.SG|HOTLINE: 1800-336-5855,608532,199901693G
404,L22065730467,THE STAR VISTA - EIGHTEEN CHEFS,THE STAR VISTA|1 VISTA EXCHANGE GREEN,EIGHTEEN CHEFS|TEL:6694 5975|GST REG NO :200703692R,138617,200703692R
406,L04071350460,PLAZA SINGAPURA - UNITY PHARMACY,PLAZA SINGAPURA|68 ORCHARD ROAD,UNITY PHARMACY|TEL: 6238 0230|UEN NO: S83CS0191L,238839,M400045780
407,L0621720363,BUGIS JUNCTION - KAZOKUTEI,BUGIS JUNCTION,KAZOKUTEI|GST REG: M90370629T|TEL/FAX: 6338 0187,,M90370629T
409,L0403500337,PLAZA SINGAPURA - HOT TOMATO EXPRESS,PLAZA SINGAPURA|68 ORCHARD ROAD,FIN JONE RESTAURANT & BAR|HOT TOMATO|TEL: 6341-9162|FAX: 6341-9163|GST REG NO:M200834470,238839,M200834470
414,L04065800628,PLAZA SINGAPURA - YAMAHA MUSIC SQUARE/MUSIC SCHOOL,PLAZA SINGAPURA|68 ORCHARD ROAD,YAMAHA MUSIC (ASIA)|TEL: 67409841/856/868|CO. REG. NO.:196600213D,238839,M200076826
417,L0527591988,IMM BUILDING - BATA OUTLET,IMM BUILDING,BATA|CUSTOMERSERVICE.SG@BATA.COM|PHONE # 6513 4270|GST REG. NO. M2-0000037-4,,M200000374
418,L1800120070,LOT ONE - ROYAL SPORTING HOUSE,LOT ONE|LOT 1,RSH SING|ROYAL SPORTING HOUSE|CO.REG 199409417M|TEL. NO. 6763-6260,,199409417M
421,L2538160342,WESTGATE - TEMT,WESTGATE|2 JURONG EAST,TEMT|ST-WCT,600135,
422,L57054370147,RAFFLES CITY SINGAPORE - SZECHUAN KITCHEN,RAFFLES CITY|178882,FAIRMONT|FAIRMONT SINGAPORE SZECHUAN COURT|SZECHUAN KITCHEN|GSTREGNO:M2-0089636-0|354851 QIU HUI,178882,M200896360
423,L04073580663,PLAZA SINGAPURA - LOKKEE / LAO BEIJING,PLAZA SINGAPURA|68 ORCHARD ROAD,DRAGON CHAM|TEL:6738-7207|REG #:200006691H|GST REG#:M9-0005581-L,238839,M9005581L
427,L1602100217,BUKIT PANJANG PLAZA - BEAUTY LANGUAGE,BUKIT PANJANG PLAZA|1 JELEBU RD|677743|BUKIT,BEAUTY LANGUAGE|WWW.BEAUTYLANGUAGE.COM,677743,201103695M
433,L2124020323,BUGIS+ - BONCHON CHICKEN,BUGIS+|201 VICTORIA STREET,BONCHON|TEL: 6884 4768|GST NO : 201129708Z,188067,201129708Z
434,L03065800219,TAMPINES MALL - YAMAHA MUSIC SQUARE/MUSIC SCHOOL,TAMPINES MALL|4 TAMPINES CENTRAL 5,YAMAHA MUSIC (ASIA)|#04-K1/13/14/15/16|PHONE 67409871/67409877|CO. REG. NO.: 196600213D,529510,M200076826
436,L0924670275,JCUBE - THE RINK,JCUBE|2 JURONG EAST CENTRAL 1,THE RINK|SINGAPORE SPORTS COUNCIL|TEL NO : 66842374|GST REG NO:M88200067,609731,M88200067
439,L0400100363,PLAZA SINGAPURA - PIZZA HUT,PLAZA SINGAPURA,PIZZA HUT|GST REG NO:M2-0114109-5|TEL: 6334 3757|WWW.PIZZAHUTGUESTSURVEY.COM.SG,,M201141095
440,L0529112082,IMM BUILDING - COTTON ON KIDS OUTLET,IMM BUILDING|2 JURONG EAST STREET 21,COTTON ON KIDS|KIDS IMM (OUTLET)|SHOP NO1-33|TELEPHONE: +65 6569 7204|WWW.COTTONONKIDS.COM,,200616872D
441,L2403670087,BEDOK MALL - COTTON ON,BEDOK MALL,COTTON:ON|COTTON ON SING|SHOP B1-71/72|TELEPHONE: +65 68449377|GST NUMBER: 200616872D,,200616872D
442,L02015160324,JUNCTION 8 - NANDO'S,JUNCTION 8|9 BISHAN PLACE,NANDO|NANDO'S CHICKENLAND SING|GST REG NO:200208738 D|TEL:63975889|EMAIL: PERI-PERI@NANDOS.COM.SG,579837,200208738D
443,L05070132597,IMM BUILDING - HOME-FIX OUTLET,IMM|IMM BUILDING,HOMESTYLE|ZOI PTE|CO REG NO 196700386D|GST NO: M2-0008485-3,,M200084853
445,L57055810351,RAFFLES CITY SINGAPORE - CHALLENGER,RAFFLES CITY|252 NORTH BRIDGE ROAD,CHALLENGER|CHALLENGER TECHNOLOGIES|ROC NO.:198400182K|GST NO.:M2-0063230-3,179103,M200632303
446,L0528502046,IMM BUILDING - GIORDANO OUTLET,IMM BUILDING|IMM MALL|IMM,GIORDANO ORIGINALS|CO. REGN NO : 198103792H|GST REGN NO: M2-0043563-0|TELEPHONE : 65137165,,M200435630
448,L57131630759,RAFFLES CITY SINGAPORE - MENYA MUSASHI KAFU,RAFFLES CITY|252 NORTH BRIDGE ROAD,MENYA MUSASHI|TEL: 6254 9713,179103,M90370629T
413,L57130960758,RAFFLES CITY SINGAPORE -  YA HUA BAK KUT TEH,RAFFLES CITY|252 NORTH BRIDGE ROAD,YA HUA BAK KUT TEH|TEL: 6254 7066|GST REG NO: 201607153K,179103,201607153K
450,L09069430376,JCUBE - BRITISH ESSENTIAL,JCUBE|2 JURONG EAST CENTRAL 1,BRITISH ESSENTIAL|PHONE : 65693286|FAX : 65693358|GST REG. NO.: 200300430E,609731,200300430E
451,L24088300291,BEDOK MALL - LOU YAU TASTE OF MALAYSIA,BEDOK MALL|311 NEW UPPER CHANGI ROAD,LOU YAU BEAN SPROUTS CHICKEN|GST REG NO.201312716E,467360,201312716E
456,L0304720468,TAMPINES MALL - NUBOX,TAMPINES MALL|4 TAMPINES CENTRAL 5,NUBOX|NEWSTEAD TECHNOLOGIES|TEL:6587 7130,529510,200100468D
457,L57133290611,RAFFLES CITY SINGAPORE - DA PAOLO GASTRONOMIA,RAFFLES CITY|252 NORTH BRIDGE ROAD,DA PAOLO GASTRONOMIA|GST REG NO: M9-0006960-G|WWW.DAPAOLO.COM.SG,179103,M90006960G
458,L0638850781,BUGIS JUNCTION - SIMPLY TOYS & TOY OUTPOST,BUGIS JUNCTION,SIMPLY TOYS & TOY OUTPOST|SIMPLYTOYS|TEL: 6333 0669|EMAIL:CS@SIMPLYTOYS.COM.SG|GST NO. M9-0367330-P,,M90367330P
461,L0528572083,IMM BUILDING - COTTON ON OUTLET,IMM BUILDING|2 JURONG EAST STREET 21,COTTON ON BODY|BODY CLEARANCE)|TELEPHONE: +65 64250748,609601,200616872D
462,L0208940151,JUNCTION 8 - KIDDY PALACE,JUNCTION 8,KIDDY PALACE|TEL: 62543757|ROC/GST NO : 19-9201408-M,,199201408M
463,L15024430583,THE ATRIUM@ORCHARD - COCO ICHIBANYA,IMM BUILDING|68 ORCHARD ROAD,COCO ICHIBANYA|TEL/FAX: 6238 7539 / 6238 7540|COMPANY REG. NO. 201009695G|GST REG. NO. 20-1009695-G,238839,201009695G
467,L02070530241,JUNCTION 8 - OSMOSE,JUNCTION 8,OSMOSE|GST REG. NO: 201414149E|TEL: 6250 2669|OSMOSE-STORES.COM,,201414149E
468,L05073332650,IMM BUILDING - SHU JIANG GRILLED FISH,IMM BUILDING|2 JURONG EAST ST 2,SHU JIANG GRILLED FISH|GST REG NO.:201507673E,609601,201507673E
477,L22079570567,THE STAR VISTA - SEGAR RESTAURANT,THE STAR VISTA| 1 VISTA EXCHANGE GREEN,SEGAR @ STAR|GST REG NO: 201607079G,138617,201607079G
478,L2203020151,THE STAR VISTA - THE MANHATTAN FISH MARKET,THE STAR VISTA|1 VISTA EXCHANGE GREEN,THE MANHATTAN FISH MARKET|TEL: +65 6694 3548|FAX:+65 6694 3549|2699-H,138617,200502699H
479,L24081010294,BEDOK MALL - GREENDOT AND SMOOTHIE HOUSE,BEDOK MALL|311 NEW UPPER CHANGI ROAD,GREENDOT|#B2-31/32,467360,
484,L2528880319,WESTGATE - FOOD REPUBLIC,WESTGATE|2 GATEWAY DRIVE,FOOD REPUBLIC|HOT HOT BOT|#B1-28/29,608532,
486,L0303670383,TAMPINES MALL - COTTON ON,TAMPINES MALL|4 TAMPINES CENTRAL 5,COTTON ON KIDS|COTTON ON|SHOP 02-18A|TELEPHONE: +65 67840510|GST NUMBER: 200616872D,529510,200616872D
487,L21062450484,BUGIS+ - DAESSIKSIN KOREAN BBQ,BUGIS+,DAE SSIK SIN|GST NO: 200911513D|TEL: 65091761,,200911513D
488,L22070520359,THE STAR VISTA - (CHIBING),THE STAR VISTA,CHI BING|CHI BING (TRUE FORTUNE)|A.B.N. GST: 200913091D|01-43/K4 THE STAR VISTA,138617,200913091D
489,L0200380091,JUNCTION 8 - YOSHINOYA,JUNCTION 8,YOSHINOYA|GST REG: 19-9304141-R|OUTLET NO.: 6356 8720,,199304141R
492,L18073730009,LOT ONE - HOME-FIX,LOT ONE|LOT 1|21 CHOA CHU KANG AVE 4,HOME-FIX D.I.Y|TEL: 6765 1823|CO.REGNO/GST NO 20-0006780Z,689812,200006780Z
503,L25078930718,WESTGATE - K.COOK,WESTGATE|3 GATEWAY DRIVE,K.COOK KOREAN BBQ&STEAMBOAT BUFFE|GST REG NO.201414233C|K.COOK|TEL:68847282,608532,201414233C
509,L03031440353,TAMPINES MALL - ROYCE',TAMPINES MALL,ROYCE CONFECT INTER|TEL: 6538 3024|GST REG. NO.:20-0005529R,529510,200005529R
510,L02080700086,JUNCTION 8 - CENTRAL THAI,JUNCTION 8|9 BISHAN PLACE,CENTRAL THAI|GST REG NO:201118375D|TEL: 6694 3175|WWW.CENTRALTHAI.COM.SG,579837,201118375D
512,L1631650255,BUKIT PANJANG PLAZA - THEFACESHOP,BUKIT PANJANG PLAZA|1 JELEBU ROAD,TFS|TEL:6465 8470|VAT REG NO: 200411534C,677743,200411534C
517,L1600780024,BUKIT PANJANG PLAZA - FOUR LEAVES,BUKIT PANJANG PLAZA,FOUR LEAVES|GST REG NO: M2-0040287-1,,M200402871
518,L1600230023,BUKIT PANJANG PLAZA -  BEE CHENG HIANG,BUKIT PANJANG PLAZA,BEE CHENG HIANG|GST: 201621222N,,201621222N
519,L0209280088,JUNCTION 8 - THE COFFEE BEAN & TEA LEAF,JUNCTION 8|9 BISHAN PLACE,THE COFFEEBEAN & TEA LEAF|TEL: 6259 3025|GST REG NO: 19-9605163-K,579837,199605163K
521,L1812570527,LOT ONE - KIYO,LOT ONE,KIYO|#01-12/13|VAT REG. NO. 199302605H,689812,199302605H
523,L2227350256,THE STAR VISTA - BORNGA,THE STAR VISTA|1 VISTA EXCHANGE GREEN,BORNGA|CO./GST REG NO.: 201215714H,138617,201215714H
524,L04070180659,PLAZA SINGAPURA - HONG KONG WONTON NOODLE,PLAZA SINGAPURA|68 ORCHARD ROAD,WONTON|HONG KONG WONTON NOODLE|TEL: 66840923,238839,
