Gank,New LocationCode,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
467,L02070530241,JUNCTION 8 - OSMOSE,JUNCTION 8,OSMOSE|TEL: 6250 2669|OSMOSE-STORES.COM,,201414149E
503,L25078930718,WESTGATE - K.COOK,WESTGATE|3 GATEWAY DRIVE,K.COOK KOREAN BBQ&STEAMBOAT BUFFE|K.COOK|TEL:68847282,608532,201414233C
105,L25063260446,WESTGATE - TOKYU HANDS,JURONG EAST|3 GATEWAY DRIVE,TOKYU HANDS|TOKYU HANDS JURONG EAST|TEL: 6710-7100|FAX: 6710-7177,608532,201416784C
133,L18062250154,LOT ONE - OLD STREET BAK KUT TEH . YOU TIAO . SOYA MILK,LOT 1|LOT ONE|21 CHOA CHU KANG,OLD STREET BAK KU THE,689812,201419163G
131,L25061790569,WESTGATE - YOOGANE,WESTGATE|3 GATEWAY DRIVE|SINGAPORE 608532,YOOGANE|TEL: +65 6710 7821,608532,201426699M
170,L25086760741,,WESTGATE|3 GATEWAY DR,MASIZZIM@WEST GATE,608532,201431188M
529,L04067620522,PLAZA SINGAPURA - GYOZA-YA,PLAZA SINGAPURA|68 ORCHARD ROAD,GYOZA-YA|TEL: 62668311,238839,201431387K
34,L57251003157,Raffles City Singapore - Tempura TENTEN,252 Notrh Bridge Road|Raffles City,#B1-13 Raff|TEL: 6336 7457,179103,201431696R
585,L04062250007,PLAZA SINGAPURA - OLD STREET BAK KUT TEH . YOU TIAO . SOYA MILK,PLAZA SINGAPURA|68 ORCHARD ROAD,OLD STREET BAK KU TEH (PS)|Road #B2-07 Plaza,238839,201432936Z
506,L04073120019,PLAZA SINGAPURA - TEPPEI SYOKUDO,PLAZA SINGAPURA|68 ORCHARD ROAD,TEPPEI SYOKUDO,238839,201436703E
28,L57251063236,Raffles City Singapore - LONDON FAT DUCK,252 NORTH BRIDGR ROAD|RAFFLES CITY SC,LONDON FAT DUCK|TEL:6333 5580|FAX: 6333 5581|#B1-76 RAFF,179103,201437753E
156,L03062250560,TAMPINES MALL - OLD STREET BAK KUT TEH . YOU TIAO . SOYA MILK,TAMPINES MALL|4 TAMPINES CENTRAL 5,OLD STREET BAK KU THE (TM) ,529510,201502254K
53,L04202293209,Plaza Singapura - BUROSU RAMEN SEN SUSHI,Plaza Singapura|68 Orchard Road,Sen Bushi Burosu Ramen|Tel No: 68359180|#B2-52/54,238839,201502534H
21,LSPC900040,SingPost Centre - Platform M,SingPost,Platform M::M M,,201502544C
111,L04201543139,Plaza Singapura - SAMA CURRY & CAFE TOKACHI TONTARO,68 ORCHARD ROAD|PLAZA SINGAPURA,SAMA CURRY & CAFE|TOKACHI TONTARO|#06-11/12|www.samacurry.com.sg,238839,201505954C
97,L22068780311,The Star Vista - Guzman Y Gomez Mexican Taqueria,1 Vista Exchange Green,GUZMAN Y GOMEZ SINGAPORE|www.gyg.com.sg|guzmanygomezsingapore|Tel: 6659 6341,138617,201506035M
468,L05073332650,IMM BUILDING - SHU JIANG GRILLED FISH,IMM BUILDING|2 JURONG EAST,SHU JIANG GRILLED FISH,609601,201507673E
133,L15068060568,The Atrium@Orchard - Hamleys,PLAZA SINGAPURA,HAMLEYS|GRV TOY|TEL: +65 6238 0689,,201508574W
483,L2431690160,BEDOK MALL - PLAYE,BEDOK MALL,PLAY-E PTE|PHONE: 68449626,,201523435W
411,L04072240506,PLAZA SINGAPURA - SEORAE,PLAZA SINGAPURA|68 ORCHARD ROAD|238839,SEORAE,238839,201526433E
196,L25086970481,,WESTGATE|3 GATEWAY DRIVE|608532,HONOLULU,608532,201531891N
58,L0318390060,Tampines Mall - PANDORA,Tampines Mall|4 Tampines Central 5,PANDORA|+6567838900|Shop #01-158,,201533579E
69,L2518390278,Westgate - PANDORA,Westgate Mall|3 GateWay Drive,PANDORA|Shop #01-45|+6564659957,608532,201533579E
152,L57250133045,Raffles City Singapore - PANDORA,Raffles City|252 North Bridge Road,PANDORA|+6563361408,179103,201533579E
,L24076600279,,BEDOK MALL|311 NEW UPPER|BEDOK,MINISO|MINISO.COM|MINISO SG|4509757405329,,201534263z
,L25076600690,,WESTGATE MALL,MINISO|MINISO.COM|MINISO SG,,201534263Z
522,L02076600206,JUNCTION 8 - MINISO,JUNCTION 8,MINISO|MINISO SG|WWW.MINISO.COM|INFO@MINISO.COM,,201534263Z
54,L57130540583,Raffles City Singapore - Tokyo Sundubu,Raffles City|252 North Bridge Road,Tokyo Sundubu|Road B1-16|Tel: 62522425,179103,201536091Z
245,L09076690941,JCUBE - THE GOOD TRIO,JCUBE|2 JURONG EAST CENTRAL 1,THE GOOD TRIO|SAN REN XING|TEL:66941897,,201536433D
382,L57133870764,RAFFLES CITY SINGAPORE - THE COFFEE ACADEMICS,RAFFLES CITY|252 NORTH BRIDGE ROAD,THE COFFEE ACADEMICS|PURVEYOR AND ROASTER OF SPECIALTY COFFEE EST,179103,201537245E
317,L03078400662,TAMPINES MALL - BAKE CHEESE TART,TAMPINES MALL|4 TAMPINES CENTRAL 5,BAKE CHEESE TART|TEL: +65 6920 1928|IG:@BAKECHEESETART_SG,529510,201541251N
388,L25030470605,WESTGATE - GREENDOT,WESTGATE,GREEN DOT GDAWG,608532,201600344D
588,L05083532796,IMM BUILDING - FITFLOP OUTLET,IMM|IMM OUTLET|2 JURONG EAST,FITFLOP|PHONE: 6425 0712|/FITFLOPSING,609601,201605364K
477,L22079570567,THE STAR VISTA - SEGAR RESTAURANT,THE STAR VISTA| 1 VISTA EXCHANGE GREEN,SEGAR @ STAR,138617,201607079G
11,L25200553257,Westgate - WOK MASTER,3 Gateway Drive|Westgate,Wok Master|#B1-09 West,608532,201607088H
413,L57130960758,RAFFLES CITY SINGAPORE -  YA HUA BAK KUT TEH,RAFFLES CITY|252 NORTH BRIDGE ROAD,YA HUA BAK KUT TEH|TEL: 6254 7066,179103,201607153K
,L22081100570,THE STAR VISTA - OMOOMODON,THE STAR VISTA|1 VISTA EXCHANGE GREEN,OMOOMO|OMOOMODON|MID: 000000020226301,138617,201611668K
169,L02028430093,JUNCTION 8 - SEOULYUMMY KOREAN CASUAL DINING,JUNCTION 8|9 BISHAN PLACE,SEOUL YUMMY|SEOUL YUMMY (J8)|SUBSIDIARY OF GRATIFY GROUP|TEL: 6570 2033|WWW.SEOULYUMMY.COM,579837,201613400K
310,L04082460697,,PLAZA SINGAPURA|68 ORCHARD ROAD,INOHA MART|*B2-17/18|TEL:(+65)62653139,,201619782R
392,L04084460610,PLAZA SINGAPURA - PATBINGSOO,PLAZA SINGAPURA|68 ORCHARD ROAD,PATBINGSOO|TEL: 9181 3038,238839,201620885N
518,L1600230023,BUKIT PANJANG PLAZA -  BEE CHENG HIANG,BUKIT PANJANG PLAZA,BEE CHENG HIANG,,201621222N
527,L1801900477,LOT ONE - WORLD OF SPORTS,LOT ONE|LOT 1|21 CHOA CHU KANG AVE 4,VGO INTER|WORLD OF SPORTS|TEL: 6764 7215,689812,201628885E
51,L25201463116,Westgate - Sports Town,Westgate|3 Gateway Drive,Sports Town|#03-34/35|Tel: 6465 9884,608532,201628885E
101,L0401900443,Plaza Singapura - WORLD OF SPORTS,WOS PLAZA SINGAPURA|68 Orchard Road|Plaza Singapura,#03-13 Plaza|Tel: 6337 5094,238839,201628885E
202,L0528562048,,IMM BUILDING|2 JURONG EAST|IMM,VGO INTER|WORLD OF SPORTS|TEL:64251035,,201628895E
1,L05200323145,IMM Building - White Restaurant,2 JURONG EAST STREET,WHITE RESTAURANT|#02-24 IMM|TEL NO: 6264 2002,609601,201628952H
17,L57109000294,Raffles City Singapore - URBAN REVIVO,252 North Bridge Road|Raffles City|Mall S179103,URBAN REVIVO|#02-24/25/26|www.urbanrevivo.sg,179103,201631284K
15,L04200013027,Plaza Singapura - URBAN REVIVO,68 Orchard Road|Plaza Singapura,URBAN REVIVO|#01-18/19/20/21/22|urbanrevivo,238839,201631284K
141,L09064650480,JCube - TEO HENG KTV STUDIO,JCube|2 Jurong East Central 1,TEO HENG|Teo Heng KTV|#03-14/15/16|Tel: 67346300|48434200B,609731,201634284Z
156,L22064650522,The Star Vista - TEO HENG KTV STUDIO,1 Vista Exchange Green|The Star Vista,TEO HENG|Teo Heng KTV|#01-23/28|Tel:67751500|48434200B,138617,201634284Z
113,LSPC900042,SingPost Centre - Seoul Yummy,10 Eunos Road 8|Singapore Post Centre,Seoul Yummy|201634414Z|Tel: 6747 9665,408600,201634414Z
57,L21201153079,Bugis+ - Pizza Maru,Bugis+|201 Victoria Street,PIZZAMARU|#04-03/04|Tel: 6634 0930,188067,201705307K
60,L15200713025,The Atrium@Orchard - EGGS N THINGS,68 Orchard Road|Plaza Singapura,eggs'n Things|Road #03-79/83,238839,201706245C
576,L06035430989,BUGIS JUNCTION - MONSTER CURRY,BUGIS JUNCTION|SINGAPORE 188021,MONSTER CURRY|TEL NO.: 62661708,188021,201709348W
570,L25068940636,WESTGATE - THE EDITOR'S MARKET,WESTGATE|3 GATEWAY DRIVE,THE EDITOR'S MARKET,608532,201709487M
92,L21068940534,Bugis+ - The Editor's Market,201 Victoria Street|Bugis+,THE EDITOR's MARKET|#01-04 Bugis+|www.theeditorsmarket.com.,188067,201709487M
106,L21087880536,Bugis+ - Flaming Don,201 Victoria Street|Bugis+,Flaming Don Pte|#05-02/03,188067,201710323H
142,LSPC900017,SingPost Centre - Chateraise,Singapore Post|10 Eonos Road,Chateraise|#1-134/135|TEL: 6747 0560,408600,201716397Z
175,L04201413226,Plaza Singapura - HUO YAN SHAI ZI NIU,Plaza Singapura|68 Orchard Road,Huo Yan Shai Zi Niu|#B2-49 Plaza|huoyanshaiziniu,238839,201732092M
70,L06201143182,Bugis Junction - BIG FISH SMALL FISH,200 Victoria Street|Bugis Junction,Big Fish Small Fish,188021,201734634W
175,L18087290017,,LOT ONE|21 CHOA CHU KANG AVE 4,CHATERAISE|TEL:6769 0676,689812,21130958D
,L0300250420,,TAMPINES MALL|4 TAMPINES CENTRAL 5|TAMPINES BRANCH|TAMPINES,PET LOVERS CENTRE|PETLOVERSCENTRE|1800-PETFOOD,,52969972M
213,L1800250458,LOT ONE - PET LOVERS CENTRE,LOT ONE|LOT 1|LOT1 BRANCH,PET LOVERS|TEL:188-PETFOOD|WWW.PETLOVERSCENTRE.COM,,53052642E
33,L0401830465,PLAZA SINGAPURA - DAISO JAPAN,PLAZA SINGAPURA|68 ORCHARD ROAD,DAISO|TEL: 6884-9210|ROC: T02FC6208E,238839,F00006208N
17,L0501831860,IMM BUILDING - DAISO JAPAN,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL|2 JURONG EAST,DAISO|TEL:6566-9585|ROC: T02FC6208E,609601,F00006208N
412,L09001831000,JCUBE - DAISO JAPAN,JCUBE,DAISO JAPAN|ROC T02FC6208E,,F00006208N
102,LSPC900101,SingPost Centre - Daiso Japan,,Daiso SPC|Tel:6741 0275,,FO-0006208N
153,L03077590597,Tampines Mall - WESTON CORP,TAMPINES CENTRAL 5|TAMPINES MALL,WESTON CORP|#02-17A TAMPINES|www.weston.com.sg|www.facebook.com/westonsg,529510,M2 - 0062537-4
59,L0400340145,Plaza Singapura - ESPRIT,PLAZA SINGAPURA,ESPIRIT,,M2_0069892-4
,L0201930299,,JUNCTION 8,BATA.COM.SG|WITH BATA,,m200000374
,L1601930060,BUKIT PANJANG PLAZA - BATA,BUKIT PANJANG PLAZA,BATA|CUSTOMERSERVICE.SG@BATA.COM|PHONE # 67658592,,m200000374
,L2401930021,,BEDOK MALL|311 NEW UPPER,FEEDBACK.BATA.COM.SG|BATA,,m200000374
387,L1801930411,LOT ONE - BATA,LOT 1|LOT ONE,BATA|CUSTOMERSERVICE.SG@BATA.COM|PHONE # 67629536,,M200000374
417,L0527591988,IMM BUILDING - BATA OUTLET,IMM BUILDING,BATA|CUSTOMERSERVICE.SG@BATA.COM|PHONE # 6513 4270,,M200000374
126,L0401930136,Plaza Singapura - Bata,PLAZA SINGAPURA,bata.com|customerservice.sg@bata.com|Phone # 63373208|BATA,,M2-0000037-4
354,L03080120452,TAMPINES MALL - POH HENG,TAMPINES MALL,POH HENG JEWELLERY|WWW.POHHENG.COM.SG|COREGNO : 195100114R,,M20001837X
,L0200770026,,JUNCTION 8|9 BISHAN PLACE,EUYANSANG|EU YAN SANG|TEL: (65)63542174|FAX: (65)63541648,579837,M200024621
,L0300770015,,TAMPINES MALL|4 TAMPINES CENTRAL 5,EUYANSANG|EU YAN SANG|TEL: (65)67874270|FAX: (65)67874092,529510,M200024621
,L0400770524,,PLAZA SINGAPURA|68 ORCHARD ROAD,EUYANSANG|EU YAN SANG|TEL: (65)62380735|FAX: (65)6238072,238839,M200024621
,L0500770085,,IMM BUILDING|IMM MALL|IMM|2 JURONG EAST|609601,EUYANSANG|EU YAN SANG|TEL: (65)65615313|FAX: (65)65617550|WWW.EUYANSANG.COM.SG,609601,M200024621
,L0600770460,,BUGIS JUNCTION,EUYANSANG|EU YAN SANG,188021,M200024621
,L1600770144,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,EUYANSANG|EU YAN SANG|(65)67674491|(65)67674493,677743,M200024621
,L1800770233,,LOT 1|LOT ONE|21 CHOA CHU KANG,EUYANSANG|EU YAN SANG|TEL: (65)67642824|FAX: (65)67643614|WWW.EUYANSANG.COM.SG,689812,M200024621
,L2400770004,,BEDOK|BEDOK MALL|311 NEW UPPER CHANGI ROAD,EUYANSANG|EU YAN SANG|TEL: (65)68449803|FAX: (65)68449804,467360,M200024621
414,L04065800628,PLAZA SINGAPURA - YAMAHA MUSIC SQUARE/MUSIC SCHOOL,PLAZA SINGAPURA|68 ORCHARD ROAD,YAMAHA MUSIC (ASIA)|TEL: 67409841/856/868|CO. REG. NO.:196600213D,238839,M200076826
434,L03065800219,TAMPINES MALL - YAMAHA MUSIC SQUARE/MUSIC SCHOOL,TAMPINES MALL|4 TAMPINES CENTRAL 5,YAMAHA MUSIC (ASIA)|#04-K1/13/14/15/16|PHONE 67409871/67409877|CO. REG. NO.: 196600213D,529510,M200076826
66,L25065800284,Westgate - YAMAHA MUSIC SQUARE/MUSIC SCHOOL,West Gate|Gateway Drive,YAHAMA MUSIC|Drive #04-40|PHONE 67409336|196600213D|sg.yamaha.com,608532,M200076826
271,L57086070343,RAFFLES CITY SINGAPORE - NESPRESSO,RAFFLES CITY|252 NORTH BRIDGE ROAD,NESPRESSO|NESTLE SING|WWW.NESPRESSO.COM,179103,M200081803
,L2400280050,,BEDOK MALL,LIVE WELL|GNC LIVE WELL|GNC VIP,,M200106977R
7,L2501220028,WESTGATE - ISETAN,WESTGATE|JURONG EAST|TEL NO. : 6896,ISETAN|CO.REG.NO. : 197001177H|TEL NO. : 6896-7777|WWW.ISETAN.COM.SG,,M200114809
12,L0301220338,TAMPINES MALL - ISETAN,TAMPINES|TAMPINES MALL|TEL NO.: 6788,ISETAN|WWW.ISETAN.COM.SG|CO.REG.NO.: 197001177H,,M200114809
81,L0300040376,TAMPINES MALL - COURTS,TAMPINES,COURTS SING|197301411C|WWW.COURTS.COM,,M200162650
295,L1800080475,LOT ONE - MCDONALD'S,LOT ONE|LOT 1|21 CHOA CHU KANG AVENUE 4,MCDONALD'S|HANBAOBAO|TEL:67635908|TEL: 6763 5908|MID: 111883567000,689812,M200239814
550,L2400080168,BEDOK MALL - MCDONALD'S,BEDOK MALL|311 NEW UPPER CHANGI ROAD,MCDONALD'S|UNIT 01-10/11|HANBAOBAO,467360,M200239814
552,L03000080655,TAMPINES MALL - MCDONALD'S,TAMPINES MALL|4 TAMPINES CENTRAL 5,MCDONALD'S|TEL: 6781 2654|HANBAOBAO,529510,M200239814
283,L1600080056,BUKIT PANJANG PLAZA - MCDONALD'S,BUKIT PANJANG PLAZA|1 JELEBU ROAD,MCDONALD'S BPP BRANCH|TEL: 6892 8572|HANBAOBAO,677743,M200239814
72,L0200080182,Junction 8 - McDonald's,Junction 8|01-20 Junction 8,McDonald's Bishan|Tel: 6250 5898,579837,M2-0023981-4
96,L0500081830,IMM Building - McDonald's,IMM Building,MCDonald's|Tel: 68992698,609601,M2-0023981-4
424,L0202380113,JUNCTION 8 - GG<5,JUNCTION 8,GG<5 JUNC|#02-05/06|TEL: 67342693,,M200316657
,L0200250022,,JUNCTION 8 BRANCH,PET LOVERS CENTRE|PETLOVERSCENTRE|TEL : 1800-PERFOOD,,m200325419
,L0500251903,,IMM BUILDING|IMM MALL|IMM BRANCH|IMM BLDG,PET LOVERS CENTRE|1800-PETFOOD|PETLOVERSCENTRE,,m200325419
352,L2400250227,BEDOK MALL - PET LOVERS CENTRE,BEDOK MALL| BEDOK MALL BRANCH|BEDOK,PET LOVERS CENTRE|TEL:1800-PETFOOD|WWW.PETLOVERSCENTRE.COM,,M200325419
568,L0600250644,BUGIS JUNCTION - PET LOVERS CENTRE,BUGIS JUNCTION|BUGIS BRANCH,PET LOVERS CENTRE|TEL: 1800-PETFOOD|WWW.PETLOVERSCENTRE.COM,,M200325419
124,L0400250384,Plaza Singapura - Pet Lovers Centre,Plaza Singapura,Pet Lovers Centre|Tel : 1800-PETFOOD|www.petloverscentre.com,,M2-0032541-9
93,L2402120044,BEDOK MALL - SWENSEN'S,BEDOK MALL|311 NEW UPPER CHANGI ROAD,SWENSEN|SWENSEN'S|FAX: 6844 9750|COMPANY REG. N 197803023H,,M200328108
80,L0202120092,JUNCTION 8 - SWENSEN'S,JUNCTION 8|9 BISHAN PLACE,SWENSEN|SWENSEN'S|TEL: 6252 6229|FAX: 6252 8526|COMPANY REG. N 197803023H,579837,M200328108
77,L0502121304,IMM BUILDING - SWENSEN'S,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL|2 JURONG EAST,SWENSEN|SWENSEN'S|TEL : 6566 7554|FAX: 6561 8026|COMPANY REG. N 197803023H,609601,M200328108
39,L0302120395,TAMPINES MALL - SWENSEN'S,TAMPINES MALL|5 TAMPINES CENTRAL 5,SWENSEN|SWENSEN'S|COMPANY REG. N 197803023H|TEL: 6781 5489|FAX: 6587 6345,,M200328108
,L0402120183,,PLAZA SINGAPURA|68 ORCHARD ROAD|238839,SWENSEN'S|TEL: 68370650|FAX: 6837 0672|COMPANY REG. N 197803023H,238839,M200328108
,L0602120090,,BUGIS JUNCTION,SWENSEN|SWENSEN'S|197803023H,188021,M200328108
63,LSPC900044,SingPost Centre - Swensens,10 Eunos Road 8|Singpost Centre,Swensen's|#02-136/137|Tel:67472197|Fax:67472170|197803023H,408600,M200328108
126,L25079690529,WESTGATE - EARLE SWENSEN,WESTGATE|3 GATEWAY DRIVE|SINGAPORE 608532,EARLE SWENSEN|EARLE SWENSEN'S|TEL: 6358 3859|FAX: 6358 3849|COMPANY REG. N. 197803023H,608532,M200329108
517,L1600780024,BUKIT PANJANG PLAZA - FOUR LEAVES,BUKIT PANJANG PLAZA,FOUR LEAVES,,M200402871
596,L24000780309,BEDOK MALL - FOUR LEAVES,BEDOK MALL,FOUR LEAVES|CO. REG. NO: 198003150E|TEL: 6385 3022,467360,M200402871
380,L0300780019,TAMPINES MALL - FOUR LEAVES,TAMPINES MALL|4 TAMPINES CENTRAL 5,FOUR LEAVES|TEL/FAX:6788 5056,529510,M200402871
323,L1800170049,,LOT ONE|LOT 1,GIORDANO|GIORDANO ORIGINALS|SHOP:SGS64|TEL:65137278|HTTP://WWW.GIORDANO.COM,,M200435630
446,L0528502046,IMM BUILDING - GIORDANO OUTLET,IMM BUILDING|IMM MALL|IMM,GIORDANO ORIGINALS|CO. REGN NO : 198103792H|TELEPHONE : 65137165,,M200435630
473,L0300170048,TAMPINES MALL - GIORDANO,TAMPINES MALL,GIORDANO ORIGINALS|CO.REGN NO: 198103792H|TELEPHONE: 65137269|WWW.GIORDANO.COM.SG,,M200435630
333,L0505641666,IMM BUILDING - NEW BALANCE OUTLET,IMM BUILDING|2 JURONG EAST|IMM|609601,NEW BALA,609601,M200514858
561,L0300980375,TAMPINES MALL - HAAGEN-DAZS,TAMPINES MALL|4 TAMPINES CENTRAL 5,HAAGEN-DAZS|65-6789 9336,529510,M20051945X
117,L25000983007,Westgate - Haagen-Dazs,3 Gateway Drive|Westgate,Haagen-Dazs|65-6254 9180,608532,M2-0051945-X
198,L06073690948,,BUGIS JUNCTION|200 VICTORIA STREET|SINGAPORE 188021,KINOKUNIYA BOOKSTORES|BUSINESS REG. NO.: 198301413H,188021,M200526520
143,L0300530293,TAMPINES MALL - ARENA,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,ARENA|ROC NO: 198101922R,529510,M200533968
68,L0202390320,JUNCTION 8 - BEST DENKI,JUNCTION 8|9 BISHAN PLACE,BEST DENKI|BEST DENKI (S)|TEL: 62588488|RCB NO. 198202199E|WWW.BESTDENKI.COM.SG,579837,M200538137
55,L0502391503,IMM BUILDING - BEST DENKI,IMM BUILDING|2 JURONG EAST|S(609601)|IMM,BEST DENKI (S)|TEL:  65644022|RCB NO. 198202199E|WWW.BESTDENKI.COM.SG,609601,M200538137
188,L2402390223,,BEDOK MALL|311 NEW UPPER CHANGI ROAD,BEST DENKI|BEST DENKI (S)|#B1-01/43/44|RCB NO. 198202199E|WWW.BESTDENKI.COM.SG,467360,M200538137
399,L57250613110,RAFFLES CITY SINGAPORE - NBC STATIONERY & GIFTS,RAFFLES CITY|252 NORTH BRIDGE ROAD,NBC|STATIONERY & GIFTS|#03-10/11/12|TEL: 6336 7466|FAX : 6336 4616|CO.REG.NO : 198304042G|WWW.NBCSTATIONERYANGGIFTS.COM,179103,M200623908
511,L06079670167,BUGIS JUNCTION - NBC STATIONERY & GIFTS,BUGIS JUNCTION|200 VICTORIA STREET,NBC STATIONERY & GIFTS|TEL: 63390793|CO.REG.NO: 198304042G,186021,M200623908
94,L0201860190,JUNCTION 8 - CHALLENGER,JUNCTION 8|9 BISHAN PLACE,CHALLENGER|198400182K,579837,M200632303
86,L2526580234,WESTGATE - CHALLENGER MINI,WESTGATE|3 GATEWAY DRIVE,CHALLENGER|CHALLENGER TECHNOLOGIES|ROC NO.: 198400182K,608532,M200632303
70,L0601860796,BUGIS JUNCTION - CHALLENGER,BUGIS JUNCTION|200 VICTORIA STREET|188021,CHALLENGER|CHELLENGER TECHNOLOGIES|ROC NO. :198400182K|@CHANLLENGER,188021,M200632303
63,L1601860090,BUKIT PANJANG PLAZA - CHALLENGER,BUKIT PANJANG PLAZA|1 JELEBU ROAD,CHALLENGER|CHALLENGER TECHNOLOGIES |ROC NO.:198400182K,677743,M200632303
34,L0401860509,PLAZA SINGAPURA - CHALLENGER,PLAZA SINGAPURA|68 ORCHARD ROAD|238839,CHALLENGER|CHALLENGER TECHNOLOGIES|ROC NO.: 198400182K|@CHALLENGER,238839,M200632303
26,L1801860087,LOT ONE - CHALLENGER,LOT 1|LOT ONE|21 CHOA CHU KANG AVE 4,CHALLENGER|CHALLENGER TECHNOLOGIES|ROC NO.:198400182K|@ CHALLENGER,689812,M200632303
212,L03026580523,TAMPINES MALL - CHALLENGER MINI,TAMPINES MALL|4 TAMPINES CENTRAL 5,CHALLENGER MINI|CHALLENGER TECHNOLOGIES,529510,M200632303
19,L0501861558,IMM BUILDING - CHALLENGER,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL|2 JURONG EAST,CHALLENGER|CHALLENGER TECHNOLOGIES|ROC NO.:198400182K|@CHALLENGER,609601,M200632303
300,L02026580190, JUNCTION 8 - CHALLENGER MINI,JUNCTION 8|9 BISHAN PLACE,CHALLENGER TECHNOLOGIES|#04-03A,579837,M200632303
445,L57250293124,RAFFLES CITY SINGAPORE - CHALLENGER,RAFFLES CITY|252 NORTH BRIDGE ROAD,CHALLENGER|CHALLENGER TECHNOLOGIES|ROC NO.:198400182K,179103,M200632303
130,L0202510385,Junction 8 - Dorothy Perkins,9 Bishan Place|Junction 8,DOROTHY PERKINS|#01-25/26|Phone No.:6339 0351|1984008440,579837,M200638891
163,L0655100802,Bugis Junction - Topshop/Topman,200 Victoria Street|Bugis Junction,TOPSHOP & TOPMAN|#01-112 & 02-12|Phone No.:6336 9762/ 6338 1091|1984008440,188021,M200638891
166,L57250893093,Raffles City Singapore - Dorothy Perkins,252 North Bridge Road|Raffles City,DOROTHY PERKINS|#02-32/ 33|Phone No.:6264 3409|198400844D,179103,M200638891
99,L57250783007,Raffles City Singapore - SWAROVSKI,RAFFLES CITY|252 NORTH BRIDGE ROAD,SWAROVSKI|Swarovski Store|#01-09/10|Shop Tel.: 6563345154|01801/1984-R,179103,M2-0064833-1
,L0323630431,,TAMPINES MALL|4 TAMPINES CENTRAL 5,HUSH PUPPIES|TEL: 6787-3801,529510,M200657772
235,L05065171948,IMM BUILDING - HUSH PUPPIES OUTLET (APPAREL),IMM BUILDING,HUSH PUPPIES OUTLET|AROUND THE SHOE OUTLET|TEL: 6896-1201,,M200657772
214,L1613740102,BUKIT PANJANG PLAZA - JACK'S PLACE,BUKIT PANJANG PLAZA|1 JELEBU ROAD,JACK'S PLACE|STEAKHOUSE|TEL:6568928700,677743,M200680600
371,L0300940253,TAMPINES MALL - MOTHERCARE,TAMPINES MALL|4 TAMPINES CENTRAL 5|629510|TAMPINES,MOTHERCARE|MOTHERCARE (S)|HOTLINE: 6692 9880|CO.REGISTRATION NO. : 198500605W,529510,M20069653X
27,L0400940269,Plaza Singapura - mothercare,PLAZA SINGAPURA|68 Orchard Rd,mothercare|MOTHERCARE (S) PTE,238839,M2-0069653-X
313,L0501911297,IMM BUILDING - ESPRIT OUTLET,I20 OUTLET::I20,ESPRIT|ESPRIT OUTLET|TEL:65675207|CO.REG NO.:198500846H,,M200698924
555,L2400230097,BEDOK MALL -  BEE CHENG HIANG,BEDOK MALL,BEE CHENG HIANG,,M200703774
282,L1612420058,BUKIT PANJANG PLAZA - BOON LAY GEMS,BUKIT PANJANG PLAZA|1 JELEBU ROAD,BOON LAY GEMS|TEL: 6762 8341|FAX: 6762 8340|CO.REG.NO.: 198502488R,677743,M200718348
347,L0511731537,IMM BUILDING - HOE KEE,IMM BUILDING|2 JURONG EAST,HOE KEE HARDWARE|TEL: 6566 3929|FAX: 6566 0293|WWW.HOEKEE.COM.SG|CO REG NO: 198502580D,609501,M200719263
363,L1602250207,BUKIT PANJANG PLAZA - KFC,BUKIT PANJANG PLAZA|BUKIT,KFC|KENTUCKY FRIED CHICKEN MGMT|WWW.KFCGUESTFEEDBACK.COM.SG|CO. REG. NO.: 198600837K,,M200726952
118,L1802250436,Lot One - KFC,KFC LOT 1,KENTUCKY FRIED CHICKEN|198600837K|www.fkcguestfeedback.com.sg,,M200726952
,L0300450051,,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,BOSSINI|J&R BOSSINI FASHION|#02-06/07/08|@BOSSINISG,529510,m200747887
,L0600450553,,BUGIS JUNCTION|200 VICTORIA STREET,BOSSINI|BOSSINI ENTERPRISES LIMITED (SG)|TEL: 6337 6647|FAX: 6337 8647,188021,m200747887
,L1800450421,,LOT 1|LOT ONE|21 CHOA CHU KANG|689812,BOSSINI|J&R BOSSINI|AT BOSSINI|TEL: 6766 7925|@BOSSINISG,689812,m200747887
355,L0527322021,IMM BUILDING - BOSSINI OUTLET,IMM BUILDING|2 JURONG EAST,BOSSINI|J&R BOSSINI FASHION|TEL:6565 1693,609098,M200747887
72,L0500141745,IMM BUILDING - WATSONS,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM,WATSONS|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
56,L1800140120,LOT ONE - WATSONS,LOT 1,WATSONS|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
